Date	Open	Change %
08/25/1998	1088.14	0.43%
08/26/1998	1092.85	-0.79%
08/27/1998	1084.19	-3.84%
08/28/1998	1042.59	-1.48%
08/31/1998	1027.14	-6.80%
09/01/1998	957.28	3.86%
09/02/1998	994.26	-0.38%
09/03/1998	990.47	-0.83%
09/04/1998	982.26	-0.85%
09/08/1998	973.89	5.09%
09/09/1998	1023.46	-1.69%
09/10/1998	1006.2	-2.58%
09/11/1998	980.19	2.95%
09/14/1998	1009.06	2.05%
09/15/1998	1029.72	0.77%
09/16/1998	1037.68	0.75%
09/17/1998	1045.48	-2.55%
09/18/1998	1018.87	0.12%
09/21/1998	1020.09	0.37%
09/22/1998	1023.89	0.56%
09/23/1998	1029.63	3.54%
09/24/1998	1066.09	-2.19%
09/25/1998	1042.72	0.19%
09/28/1998	1044.75	0.38%
09/29/1998	1048.69	0.03%
09/30/1998	1049.02	-3.05%
10/01/1998	1017.01	-3.01%
10/02/1998	986.39	1.64%
10/05/1998	1002.6	-1.40%
10/06/1998	988.56	-0.40%
10/07/1998	984.59	-1.41%
10/08/1998	970.68	-1.16%
10/09/1998	959.44	2.60%
10/12/1998	984.39	1.35%
10/13/1998	997.71	-0.29%
10/14/1998	994.8	1.08%
10/15/1998	1005.53	4.17%
10/16/1998	1047.49	0.85%
10/19/1998	1056.42	0.57%
10/20/1998	1062.39	0.14%
10/21/1998	1063.93	0.56%
10/22/1998	1069.92	0.80%
10/23/1998	1078.48	-0.72%
10/26/1998	1070.67	0.15%
10/27/1998	1072.32	-0.65%
10/28/1998	1065.34	0.26%
10/29/1998	1068.09	1.67%
10/30/1998	1085.93	1.17%
11/02/1998	1098.67	1.18%
11/03/1998	1111.6	-0.07%
11/04/1998	1110.84	0.70%
11/05/1998	1118.67	1.36%
11/06/1998	1133.85	0.63%
11/09/1998	1141.01	-0.95%
11/10/1998	1130.2	-0.17%
11/11/1998	1128.26	-0.65%
11/12/1998	1120.97	-0.29%
11/13/1998	1117.69	0.72%
11/16/1998	1125.72	0.90%
11/17/1998	1135.87	0.30%
11/18/1998	1139.32	0.45%
11/19/1998	1144.48	0.71%
11/20/1998	1152.61	0.95%
